"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel"
"KC",2019-03-29,83,-1.9783,5.8095,"Tommy Pham",502054,543037,NA,"ball",NA,NA,NA,NA,14,NA,"R","R","R","TB","HOU","B",NA,NA,1,2,2019,1.0667,-1.2937,0.2151,0.9135,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_004035",2.9376,-120.6634,-2.0905,9.4181,27.9207,-44.2218,3.3021,1.4949,NA,NA,NA,81.64,2952,5.856,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.6434,NA,NA,NA,NA,NA,NA,NA,40,5,"Knuckle Curve",3,2,3,2,2,3,3,2,"Standard","Standard",NA
"FF",2019-03-29,98.2,-2.0816,5.7358,"Tommy Pham",502054,543037,NA,"ball",NA,NA,NA,NA,12,NA,"R","R","R","TB","HOU","B",NA,NA,0,2,2019,-0.9322,1.5441,1.5368,2.4189,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_004017",11.9609,-142.4325,-7.0478,-15.5202,33.4122,-9.6749,3.2942,1.4715,NA,NA,NA,98.105,2633,6.463,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.0363,NA,NA,NA,NA,NA,NA,NA,40,4,"4-Seam Fastball",3,2,3,2,2,3,3,2,"Standard","Standard",NA
"SL",2019-03-29,86.9,-2.0216,5.8048,"Tommy Pham",502054,543037,NA,"foul",NA,NA,NA,NA,1,NA,"R","R","R","TB","HOU","S",NA,NA,0,2,2019,0.4653,0.1618,-0.4859,2.8845,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_003952",2.7255,-126.5907,-1.1693,4.4001,24.9888,-30.4549,3.411,1.565,180,68.3,30.4,86.519,2503,5.912,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.5877,NA,NA,NA,NA,NA,NA,NA,40,3,"Slider",3,2,3,2,2,3,3,2,"Standard","Standard",0
"KC",2019-03-29,81.3,-1.8674,5.8249,"Tommy Pham",502054,543037,NA,"called_strike",NA,NA,NA,NA,9,NA,"R","R","R","TB","HOU","S",NA,NA,0,1,2019,0.8192,-1.2109,0.5595,1.9454,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_003932",3.859,-118.2061,0.2539,6.6437,24.929,-43.5236,3.3254,1.5416,NA,NA,NA,80.076,2847,5.733,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.7662,NA,NA,NA,NA,NA,NA,NA,40,2,"Knuckle Curve",3,2,3,2,2,3,3,2,"Standard","Standard",NA
"SL",2019-03-29,86.6,-2.0733,5.9296,"Tommy Pham",502054,543037,NA,"swinging_strike",NA,NA,NA,NA,1,NA,"R","R","R","TB","HOU","S",NA,NA,0,0,2019,0.4564,0.5168,-0.3888,3.4693,NA,NA,NA,2,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_003913",3.086,-126.1697,-0.7628,4.2332,23.6673,-26.8042,3.4032,1.565,NA,NA,NA,86.248,2620,5.822,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.6777,NA,NA,NA,NA,NA,NA,NA,40,1,"Slider",3,2,3,2,2,3,3,2,"Standard","Standard",NA
"CH",2019-03-29,88.4,-2.2571,5.5315,"Austin Meadows",640457,543037,"strikeout","called_strike",NA,NA,NA,NA,7,"Austin Meadows called out on strikes.","R","L","R","TB","HOU","S",2,NA,1,2,2019,-1.1274,1.4239,-0.3684,1.6665,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_003841",6.9842,-128.5097,-6.2966,-14.0239,28.076,-15.2318,3.3877,1.5417,NA,NA,NA,88.442,1800,6.492,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.0072,NA,NA,0,1,0,0,NA,39,4,"Changeup",3,2,3,2,2,3,3,2,"Infield shift","Standard",NA
"KC",2019-03-29,82.2,-2.0868,5.7658,"Austin Meadows",640457,543037,NA,"foul_tip",NA,NA,NA,NA,8,NA,"R","L","R","TB","HOU","S",NA,NA,1,1,2019,0.9423,-1.2745,0.0848,1.6201,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_003818",3.0981,-119.5116,-0.3362,8.0181,26.7159,-44.1707,3.49,1.601,NA,NA,NA,80.673,2984,5.657,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.8426,NA,NA,NA,NA,NA,NA,NA,39,3,"Knuckle Curve",3,2,3,2,2,3,3,2,"Infield shift","Standard",NA
"CH",2019-03-29,88.3,-2.1294,5.5701,"Austin Meadows",640457,543037,NA,"ball",NA,NA,NA,NA,13,NA,"R","L","R","TB","HOU","B",NA,NA,0,1,2019,-1.1794,1.3387,-1.1342,2.1921,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_003759",4.9073,-128.4256,-4.9352,-14.1323,27.1965,-16.4793,3.3889,1.5388,NA,NA,NA,88.512,1741,6.5,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,53.9991,NA,NA,NA,NA,NA,NA,NA,39,2,"Changeup",3,2,3,2,2,3,3,2,"Infield shift","Standard",NA
"SL",2019-03-29,88.5,-2.17,5.8834,"Austin Meadows",640457,543037,NA,"called_strike",NA,NA,NA,NA,11,NA,"R","L","R","TB","HOU","S",NA,NA,0,0,2019,0.527,0.1298,-0.918,2.8419,NA,NA,NA,1,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_003746",1.9617,-128.846,-1.6462,5.4001,25.1729,-30.6568,3.3345,1.5388,NA,NA,NA,87.979,2826,5.801,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.6987,NA,NA,NA,NA,NA,NA,NA,39,1,"Slider",3,2,3,2,2,3,3,2,"Infield shift","Standard",NA
"SL",2019-03-29,88.4,-2.0285,5.8301,"Mike Zunino",572287,543037,"strikeout","swinging_strike",NA,NA,NA,NA,9,"Mike Zunino strikes out swinging.","R","R","R","TB","HOU","S",2,NA,1,2,2019,0.4768,0.1496,0.5572,1.5689,NA,NA,NA,0,5,"Bot",NA,NA,NA,NA,545358,NA,"190330_003715",5.2832,-128.5538,-4.6015,4.1827,25.331,-29.8539,3.49,1.601,NA,NA,NA,87.914,2623,5.908,566665,543037,545358,493329,514888,608324,649557,488726,543807,502210,54.5911,NA,NA,0,1,0,0,NA,38,4,"Slider",3,2,3,2,2,3,3,2,"Infield shift","Standard",NA
